Diff_Foods
Cottage cheese
Crabmeat
Figs
Baby potatoes
Baked potatoes
Baked sweet potatoes
Canned sweet potato
Cassava
Fingerling potatoes
Frozen potatoes
Idaho potatoes
Japanese sweet potato
Mashed potatoes
Mashed sweet potatoes
New potatoes
Oven-roasted potato wedges
sweet potato fries
Purple potatoes
Red potatoes
Roasted potatoes
Roasted sweet potatoes
Russet potatoes
Sweet potatoes
Taro White potatoes
Yams
Yellow potatoes
Yucca
Yukon gold potatoes
Zucchini
Air-popped popcorn
Air-popped popcorn
Amaranth Ancient grain mix
Barley
Black bean pasta
Brown basmati rice
Brown rice
Brown rice cereal
Brown rice noodles
Brown rice pasta
Brown rice–quinoa blend
Buckwheat
Buckwheat soba noodles
Bulgur
Chickpea pasta
Corn pasta
Edamame pasta
Farro
Freekeh
Instant brown rice
Instant oatmeal
Kamut
Kasha
Lentil pasta
Millet Oatmeal
Oats
Pea pasta
Popcorn kernels
Quick-cooking barley
Quick-cooking brown rice
Quick-cooking regular oats
Quick-cooking steel-cut oats
Quinoa
Quinoa pasta
Red quinoa
Rolled oats
Rye berries
Shirataki noodles
Sorghum
Soybean pasta
Spelt
Spelt berries
Steel-cut oats
Teff
Thai brown rice
Tri-color quinoa
Wheat berries
Whole-grain pasta
Whole-grain sorghum
